City,Geohash,Latitude,Longitude,Longitude_SW,Latitude_SW,Longitude_NE,Latitude_NE,SeverityScore,IncidentsTotal
Toronto,dpz9hec,43.79092,-79.25304,-79.254,43.79013,-79.25262,43.7915,0.204,37
Toronto,dpz9hmc,43.80149,-79.26381,-79.26498,43.80112,-79.26361,43.80249,0.122,36
Toronto,dpz8u3s,43.73409,-79.26026,-79.26086,43.73383,-79.25949,43.7352,0.1419,36
Toronto,dpz2q1x,43.64663,-79.53061,-79.5314,43.64594,-79.53003,43.64731,0.1195,36
Toronto,dpz8dr7,43.72276,-79.34889,-79.35013,43.72147,-79.34875,43.72284,0.2038,36
Toronto,dpz8gsc,43.752,-79.29733,-79.29794,43.75168,-79.29657,43.75305,0.1079,35
Toronto,dpz8g75,43.74306,-79.30554,-79.30618,43.74207,-79.30481,43.74344,0.0914,35
Toronto,dpz2snz,43.71895,-79.6186,-79.61929,43.71872,-79.61792,43.72009,0.1128,35
Toronto,dpz881h,43.68759,-79.44692,-79.44763,43.68713,-79.44626,43.68851,0.1308,35
Toronto,dpz2v4m,43.73907,-79.5771,-79.57809,43.73795,-79.57672,43.73932,0.1247,35
Toronto,dpz2zjt,43.7565,-79.48921,-79.4902,43.7558,-79.48883,43.75717,0.0933,35
Toronto,dpz8swu,43.71923,-79.24921,-79.24988,43.71872,-79.2485,43.72009,0.2233,34
Toronto,dpz3p6z,43.7858,-79.47586,-79.47647,43.78464,-79.4751,43.78601,0.1151,34
Toronto,dpz88wc,43.71927,-79.42957,-79.42978,43.71872,-79.42841,43.72009,0.0405,34
Toronto,dpz8g81,43.72577,-79.29746,-79.29794,43.72559,-79.29657,43.72696,0.0481,34
Toronto,dpz88q2,43.71679,-79.44119,-79.44214,43.71597,-79.44077,43.71735,0.0621,34
Toronto,dpz3jbj,43.77069,-79.54443,-79.54514,43.76953,-79.54376,43.7709,0.0967,33
Toronto,dpz87jq,43.66732,-79.3125,-79.31305,43.66653,-79.31168,43.66791,0.0796,33
Toronto,dpz2swf,43.71922,-79.60365,-79.60419,43.71872,-79.60281,43.72009,0.0798,33
Toronto,dpz8udz,43.74151,-79.24539,-79.24576,43.74069,-79.24438,43.74207,0.1481,33
Toronto,dpz2z33,43.73345,-79.48362,-79.48471,43.73245,-79.48334,43.73383,0.0864,33
Toronto,dpz8bjh,43.75377,-79.44661,-79.44763,43.75305,-79.44626,43.75443,0.1924,32
Toronto,dpz8gw9,43.76203,-79.29718,-79.29794,43.76129,-79.29657,43.76266,0.1044,32
Toronto,dpz80wf,43.63158,-79.42806,-79.42841,43.63083,-79.42703,43.6322,0.0972,32
Toronto,dpz2x98,43.69025,-79.47453,-79.4751,43.68988,-79.47372,43.69125,0.0393,32
Toronto,dpz9n6x,43.7839,-79.16786,-79.16885,43.78326,-79.16748,43.78464,0.1745,32
Toronto,dpz8f25,43.72568,-79.34937,-79.35013,43.72559,-79.34875,43.72696,0.1501,32
Toronto,dpz8u1p,43.73175,-79.26738,-79.26773,43.73108,-79.26636,43.73245,0.0736,32
Toronto,dpz8gbt,43.72923,-79.28084,-79.28146,43.72833,-79.28009,43.72971,0.1093,32
Toronto,dpz2s9x,43.69021,-79.59706,-79.59732,43.68988,-79.59595,43.69125,0.1225,32
Toronto,dpz8gdj,43.73709,-79.29135,-79.29245,43.73657,-79.29108,43.73795,0.0962,32
Toronto,dpz3p14,43.77536,-79.49395,-79.49432,43.77502,-79.49295,43.7764,0.0781,32
Toronto,dpz2mw8,43.67459,-79.5622,-79.56299,43.6734,-79.56161,43.67477,0.0474,32
Toronto,dpz8ekd,43.70675,-79.30701,-79.30756,43.70636,-79.30618,43.70773,0.1996,31
Toronto,dpz8dzy,43.72497,-79.32338,-79.32404,43.72421,-79.32266,43.72559,0.0593,31
Toronto,dpz90bj,43.7703,-79.41312,-79.4133,43.76953,-79.41193,43.7709,0.0981,31
Toronto,dpz2zxq,43.76561,-79.46611,-79.46686,43.76541,-79.46548,43.76678,0.0819,31
